gvkey,fyear,datadate,tic,cusip,conm,sale,at,ni,emp,naics,sic
001690,2020,2020-09-26,AAPL,037833100,APPLE INC,274515.0,323888.0,57411.0,147.0,334220,3571
001690,2021,2021-09-25,AAPL,037833100,APPLE INC,365817.0,351002.0,94680.0,154.0,334220,3571
001690,2022,2022-09-24,AAPL,037833100,APPLE INC,394328.0,352755.0,99803.0,164.0,334220,3571
012141,2020,2020-06-30,MSFT,594918104,MICROSOFT CORP,143015.0,301311.0,44281.0,163.0,511210,7372
012141,2021,2021-06-30,MSFT,594918104,MICROSOFT CORP,168088.0,333779.0,61271.0,181.0,511210,7372
012141,2022,2022-06-30,MSFT,594918104,MICROSOFT CORP,198270.0,364840.0,72738.0,221.0,511210,7372
064768,2020,2020-12-31,AMZN,023135106,AMAZON.COM INC,386064.0,321195.0,21331.0,1298.0,454110,5961
064768,2021,2021-12-31,AMZN,023135106,AMAZON.COM INC,469822.0,420549.0,33364.0,1608.0,454110,5961
064768,2022,2022-12-31,AMZN,023135106,AMAZON.COM INC,513983.0,462675.0,-2722.0,1541.0,454110,5961
160329,2020,2020-12-31,GOOGL,02079K305,ALPHABET INC,182527.0,319616.0,40269.0,135.0,519130,7370
160329,2021,2021-12-31,GOOGL,02079K305,ALPHABET INC,257637.0,359268.0,76033.0,156.0,519130,7370
160329,2022,2022-12-31,GOOGL,02079K305,ALPHABET INC,282836.0,365264.0,59972.0,187.0,519130,7370
184996,2020,2020-12-31,TSLA,88160R101,TESLA INC,31536.0,52148.0,721.0,70.0,336111,3711
184996,2021,2021-12-31,TSLA,88160R101,TESLA INC,53823.0,62131.0,5519.0,99.0,336111,3711
184996,2022,2022-12-31,TSLA,88160R101,TESLA INC,81462.0,82338.0,12587.0,128.0,336111,3711
