rcid,company,year,headcount,hires,departures,attrition_rate,avg_tenure,avg_salary,ticker
1001,Apple,2020,140200,19800,14100,0.101,4.6,142000,AAPL
1001,Apple,2021,149500,24300,16900,0.113,4.4,148000,AAPL
1001,Apple,2022,158900,26100,17200,0.108,4.5,153000,AAPL
1002,Microsoft,2020,156800,21000,13500,0.086,4.9,151000,MSFT
1002,Microsoft,2021,173400,28900,15600,0.090,4.7,158000,MSFT
1002,Microsoft,2022,211200,41800,19400,0.092,4.4,162000,MSFT
1003,Amazon,2020,1180000,520000,410000,0.347,1.8,38000,AMZN
1003,Amazon,2021,1465000,690000,560000,0.382,1.6,40000,AMZN
1003,Amazon,2022,1402000,610000,640000,0.456,1.7,42000,AMZN
1004,Alphabet,2020,128300,17400,9800,0.076,4.2,168000,GOOGL
1004,Alphabet,2021,148900,24600,11200,0.075,4.0,176000,GOOGL
1004,Alphabet,2022,179500,33100,13800,0.077,3.8,181000,GOOGL
5005,Tesla,2020,64800,21300,12900,0.199,2.1,84000,
5005,Tesla,2021,91200,34600,17800,0.195,1.9,88000,
5005,Tesla,2022,119400,42100,21700,0.182,1.8,92000,
9009,Nvidia,2022,26100,7400,2600,0.100,3.9,189000,NVDA
