ticker,company,cik,index_name
AA,Alcoa,,SP400MidCap
AAL,American Airlines Group,,SP400MidCap
AAON,AAON,,SP400MidCap
ACI,Albertsons,,SP400MidCap
ACM,AECOM,,SP400MidCap
ADC,Agree Realty,,SP400MidCap
AEIS,Advanced Energy,,SP400MidCap
AFG,American Financial Group,,SP400MidCap
AGCO,AGCO,,SP400MidCap
AHR,American Healthcare REIT,,SP400MidCap
AIT,Applied Industrial Technologies,,SP400MidCap
ALGM,Allegro MicroSystems,,SP400MidCap
ALK,Alaska Air Group,,SP400MidCap
ALLY,Ally Financial,,SP400MidCap
ALV,Autoliv,,SP400MidCap
AM,Antero Midstream,,SP400MidCap
AMG,Affiliated Managers Group,,SP400MidCap
AMH,American Homes 4 Rent,,SP400MidCap
AMKR,Amkor Technology,,SP400MidCap
AN,AutoNation,,SP400MidCap
ANF,Abercrombie & Fitch,,SP400MidCap
APG,APi Group,,SP400MidCap
APPF,AppFolio,,SP400MidCap
AR,Antero Resources,,SP400MidCap
ARMK,Aramark,,SP400MidCap
ARW,Arrow Electronics,,SP400MidCap
ARWR,Arrowhead Pharmaceuticals,,SP400MidCap
ASB,Associated Bank,,SP400MidCap
ASH,Ashland Global,,SP400MidCap
ATI,ATI Inc.,,SP400MidCap
ATR,AptarGroup,,SP400MidCap
AVAV,AeroVironment,,SP400MidCap
AVNT,Avient,,SP400MidCap
AVT,Avnet,,SP400MidCap
AVTR,Avantor,,SP400MidCap
AXTA,Axalta,,SP400MidCap
AYI,Acuity Brands,,SP400MidCap
BAH,Booz Allen Hamilton,,SP400MidCap
BBWI,"Bath & Body Works, Inc.",,SP400MidCap
BC,Brunswick,,SP400MidCap
BCO,Brink's,,SP400MidCap
BDC,Belden Inc.,,SP400MidCap
BHF,Brighthouse Financial,,SP400MidCap
BILL,Bill Holdings,,SP400MidCap
BIO,Bio-Rad Laboratories,,SP400MidCap
BJ,BJ's Wholesale Club,,SP400MidCap
BKH,Black Hills Corporation,,SP400MidCap
BLD,TopBuild Corp.,,SP400MidCap
BLKB,Blackbaud,,SP400MidCap
BMRN,BioMarin Pharmaceutical,,SP400MidCap
BRBR,BellRing Brands,,SP400MidCap
BRKR,Bruker,,SP400MidCap
BROS,Dutch Bros Inc.,,SP400MidCap
BRX,Brixmor Property Group,,SP400MidCap
BSY,Bentley Systems,,SP400MidCap
BURL,Burlington Stores,,SP400MidCap
BWA,BorgWarner,,SP400MidCap
