date,year,action,ticker,company,index_name,reason
"May 18, 2026",2026,added,SN,SharkNinja,SP400MidCap,Market capitalization change.
"May 18, 2026",2026,removed,FLO,Flowers Foods,SP400MidCap,Market capitalization change.
"April 9, 2026",2026,added,DOCN,DigitalOcean,SP400MidCap,Market capitalization change.
"April 9, 2026",2026,removed,CASY,Casey's,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,added,SOLS,Solstice Advanced Materials,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,removed,LITE,Lumentum,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,added,SITM,SiTime,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,removed,COHR,Coherent Corp.,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,added,MOG.A,Moog Inc.,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,removed,SATS,EchoStar,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,added,IDCC,InterDigital,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,removed,GTM,ZoomInfo,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,added,VICR,Vicor Corporation,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,removed,ASGN,ASGN Inc.,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,added,CTRE,CareTrust REIT,SP400MidCap,Market capitalization change.
"March 23, 2026",2026,removed,KMPR,Kemper Corporation,SP400MidCap,Market capitalization change.
"February 9, 2026",2026,added,ARWR,Arrowhead Pharmaceuticals,SP400MidCap,Market capitalization change.
"February 9, 2026",2026,removed,CIEN,Ciena,SP400MidCap,Market capitalization change.
"February 2, 2026",2026,added,BROS,Dutch Bros Inc.,SP400MidCap,S&P MidCap 400 constituent Rayonier Inc. acquired PotlatchDeltic.
"February 2, 2026",2026,removed,PCH,PotlatchDeltic,SP400MidCap,S&P MidCap 400 constituent Rayonier Inc. acquired PotlatchDeltic.
"February 2, 2026",2026,added,AEIS,Advanced Energy,SP400MidCap,S&P 500 constituent Fifth Third Bancorp acquired Comerica.
"February 2, 2026",2026,removed,CMA,Comerica,SP400MidCap,S&P 500 constituent Fifth Third Bancorp acquired Comerica.
"February 2, 2026",2026,added,AHR,American Healthcare REIT,SP400MidCap,S&P 500 constituent Huntington Bancshares Inc. acquired Cadence Bank.
"February 2, 2026",2026,removed,CADE,Cadence Bank,SP400MidCap,S&P 500 constituent Huntington Bancshares Inc. acquired Cadence Bank.
"January 30, 2026",2026,added,TTMI,TTM Technologies,SP400MidCap,S&P SmallCap 600 constituent SM Energy Company acquired Civitas Resources.
"January 30, 2026",2026,removed,CIVI,Civitas Resources,SP400MidCap,S&P SmallCap 600 constituent SM Energy Company acquired Civitas Resources.
"January 22, 2026",2026,added,SARO,StandardAero,SP400MidCap,S&P 500 & S&P 100 constituent Verizon Communications Inc. acquired Frontier Communications Parent.
"January 22, 2026",2026,removed,FYBR,Frontier Communications,SP400MidCap,S&P 500 & S&P 100 constituent Verizon Communications Inc. acquired Frontier Communications Parent.
"January 2, 2026",2026,added,PATH,UiPath,SP400MidCap,S&P MidCap 400 constituent Pinnacle Financial Partners Inc. acquired Synovus Financial Corp.
"January 2, 2026",2026,removed,SNV,Synovus,SP400MidCap,S&P MidCap 400 constituent Pinnacle Financial Partners Inc. acquired Synovus Financial Corp.
"December 22, 2025",2025,added,ULS,UL Solutions,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,removed,FIX,Comfort Systems USA,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,added,PINS,Pinterest,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,added,BAH,Booz Allen Hamilton,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,removed,POWI,Power Integrations,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,added,SPXC,SPX Technologies,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,removed,PRGO,Perrigo,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,added,DY,Dycom Industries,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,removed,IRDM,Iridium Communications,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,added,BWA,BorgWarner,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,removed,VAC,Marriott Vacations Worldwide,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,added,HL,Hecla Mining,SP400MidCap,Market capitalization change.
"December 22, 2025",2025,removed,NSP,Insperity,SP400MidCap,Market capitalization change.
"December 17, 2025",2025,added,CRBG,Corebridge Financial,SP400MidCap,Canada Pension Plan Investment Board and Global Infrastructure Partners acquired Allete.
"December 17, 2025",2025,removed,ALE,"Allete, Inc.",SP400MidCap,Canada Pension Plan Investment Board and Global Infrastructure Partners acquired Allete.
"November 13, 2025",2025,added,STRL,Sterling Infrastructure,SP400MidCap,Light & Wonder delisted from the NASDAQ Stock Exchange but kept its primary listing exclusively in Australia.
"November 13, 2025",2025,removed,LNW,Light & Wonder,SP400MidCap,Light & Wonder delisted from the NASDAQ Stock Exchange but kept its primary listing exclusively in Australia.
"October 6, 2025",2025,added,BSY,Bentley Systems,SP400MidCap,Market capitalization change.
"October 6, 2025",2025,removed,WU,Western Union,SP400MidCap,Market capitalization change.
"September 22, 2025",2025,added,KTOS,Kratos Defense & Security Solutions,SP400MidCap,Market capitalization change.
"September 22, 2025",2025,removed,MAN,ManpowerGroup,SP400MidCap,Market capitalization change.
"September 22, 2025",2025,added,MP,MP Materials,SP400MidCap,Market capitalization change.
"September 22, 2025",2025,removed,ACHC,Acadia Healthcare,SP400MidCap,Market capitalization change.
"September 22, 2025",2025,added,TRU,TransUnion,SP400MidCap,Market capitalization change.
"September 22, 2025",2025,removed,WEN,Wendy's,SP400MidCap,Market capitalization change.
"September 22, 2025",2025,added,NTNX,Nutanix,SP400MidCap,Market capitalization change.
"September 22, 2025",2025,removed,EME,Emcor,SP400MidCap,Market capitalization change.
"September 12, 2025",2025,added,FTI,TechnipFMC,SP400MidCap,3G Capital acquired Skechers USA.
"September 12, 2025",2025,removed,SKX,Skechers,SP400MidCap,3G Capital acquired Skechers USA.
"September 2, 2025",2025,added,ELAN,Elanco,SP400MidCap,Market capitalization change.
"September 2, 2025",2025,removed,SRPT,Sarepta Therapeutics,SP400MidCap,Market capitalization change.
"August 28, 2025",2025,added,TLN,Talen Energy,SP400MidCap,Market capitalization change.
"August 28, 2025",2025,removed,IBKR,Interactive Brokers,SP400MidCap,Market capitalization change.
"August 19, 2025",2025,added,TWLO,Twilio,SP400MidCap,S&P 500 and S&P 100 constituent UnitedHealth Group acquired Amedisys.
"August 19, 2025",2025,removed,AMED,Amedisys,SP400MidCap,S&P 500 and S&P 100 constituent UnitedHealth Group acquired Amedisys.
"July 18, 2025",2025,added,AVAV,AeroVironment,SP400MidCap,S&P 500 constituent Schlumberger Ltd. acquired ChampionX.
"July 18, 2025",2025,removed,CHX,ChampionX,SP400MidCap,S&P 500 constituent Schlumberger Ltd. acquired ChampionX.
"June 24, 2025",2025,added,APG,APi Group,SP400MidCap,Nippon Steel Corp. acquired United States Steel.
"June 24, 2025",2025,removed,X,U.S. Steel,SP400MidCap,Nippon Steel Corp. acquired United States Steel.
"May 22, 2025",2025,added,PEGA,Pegasystems,SP400MidCap,The Nordstrom family and El Puerto de Liverpool acquired Nordstrom.
"May 22, 2025",2025,removed,JWN,Nordstrom,SP400MidCap,The Nordstrom family and El Puerto de Liverpool acquired Nordstrom.
"May 1, 2025",2025,added,OKTA,"Okta, Inc.",SP400MidCap,S&P 500 constituent Amcor plc acquired Berry Global Group.
"May 1, 2025",2025,removed,BERY,Berry Global,SP400MidCap,S&P 500 constituent Amcor plc acquired Berry Global Group.
"March 31, 2025",2025,added,CAVA,Cava Group,SP400MidCap,Siemens AG acquired Altair Engineering.
"March 31, 2025",2025,removed,ALTR,Altair Engineering,SP400MidCap,Siemens AG acquired Altair Engineering.
"March 24, 2025",2025,added,VFC,VF Corporation,SP400MidCap,Market capitalization change.
"March 24, 2025",2025,removed,TKO,TKO Group Holdings,SP400MidCap,Market capitalization change.
"March 24, 2025",2025,added,ALK,Alaska Air Group,SP400MidCap,Market capitalization change.
"March 24, 2025",2025,removed,WSM,"Williams-Sonoma, Inc.",SP400MidCap,Market capitalization change.
"March 24, 2025",2025,added,HIMS,Hims & Hers Health,SP400MidCap,Market capitalization change.
"March 24, 2025",2025,removed,EXE,Expand Energy,SP400MidCap,Market capitalization change.
"March 24, 2025",2025,added,BBWI,"Bath & Body Works, Inc.",SP400MidCap,Market capitalization change.
"March 24, 2025",2025,removed,CC,Chemours,SP400MidCap,Market capitalization change.
"March 24, 2025",2025,added,ATI,ATI Inc.,SP400MidCap,Market capitalization change.
"March 24, 2025",2025,removed,TDC,Teradata,SP400MidCap,Market capitalization change.
"March 24, 2025",2025,added,SATS,EchoStar,SP400MidCap,Market capitalization change.
"March 24, 2025",2025,removed,NEOG,Neogen,SP400MidCap,Market capitalization change.
"March 11, 2025",2025,added,ACI,Albertsons,SP400MidCap,S&P 500 constituent Emerson Electric acquired Aspen Technology.
"March 11, 2025",2025,removed,AZPN,Aspen Technology,SP400MidCap,S&P 500 constituent Emerson Electric acquired Aspen Technology.
"March 6, 2025",2025,added,ENTG,Entegris,SP400MidCap,Rio Tinto acquired Arcadium Lithium.
"March 6, 2025",2025,removed,ALTM,Arcadium Lithium,SP400MidCap,Rio Tinto acquired Arcadium Lithium.
"January 27, 2025",2025,added,GWRE,Guidewire Software,SP400MidCap,Market capitalization change.
"January 27, 2025",2025,removed,ARWR,Arrowhead Pharmaceuticals,SP400MidCap,Market capitalization change.
"January 14, 2025",2025,added,CART,Maplebear Inc.,SP400MidCap,Market capitalization change.
"January 14, 2025",2025,removed,ENOV,Enovis,SP400MidCap,Market capitalization change.
"December 23, 2024",2024,added,CMA,Comerica,SP400MidCap,Market capitalization change.
"December 23, 2024",2024,removed,VSH,Vishay Intertechnology,SP400MidCap,Market capitalization change.
"December 23, 2024",2024,added,CRS,Carpenter Technology,SP400MidCap,Market capitalization change.
"December 23, 2024",2024,removed,CRI,Carter's,SP400MidCap,Market capitalization change.
"December 23, 2024",2024,added,BILL,BILL Holdings,SP400MidCap,Market capitalization change.
"December 23, 2024",2024,removed,LII,Lennox International,SP400MidCap,Market capitalization change.
"November 26, 2024",2024,added,MLI,Mueller Industries,SP400MidCap,Market capitalization change.
"November 26, 2024",2024,removed,TPL,Texas Pacific Land Corporation,SP400MidCap,Market capitalization change.
"November 25, 2024",2024,added,FLEX,Flex Ltd.,SP400MidCap,Market capitalization change.
"November 25, 2024",2024,removed,AZTA,Azenta,SP400MidCap,Market capitalization change.
"November 20, 2024",2024,added,FOUR,Shift4,SP400MidCap,"TowerBrook Capital Partners and Clayton, Dubilier & Rice acquired R1 RCM."
"November 20, 2024",2024,removed,RCM,R1 RCM,SP400MidCap,"TowerBrook Capital Partners and Clayton, Dubilier & Rice acquired R1 RCM."
"November 6, 2024",2024,added,CHWY,Chewy,SP400MidCap,"S&P 500 constituent Waste Management, Inc. acquired Stericycle."
"November 6, 2024",2024,removed,SRCL,Stericycle,SP400MidCap,"S&P 500 constituent Waste Management, Inc. acquired Stericycle."
