ticker,company,cik,index_name,from_year,thru_year
AAP,Advance Auto Parts,,SP400MidCap,2012,2014
ABMD,Abiomed,,SP400MidCap,2016,2017
ACC,American Campus Communities,,SP400MidCap,2012,2019
ACHC,Acadia Healthcare,,SP400MidCap,2017,2019
ACI,Albertsons,,SP400MidCap,2012,2012
ACIW,ACI Worldwide,,SP400MidCap,2012,2019
ACM,AECOM,,SP400MidCap,2012,2019
ADNT,Adient,,SP400MidCap,2018,2019
ADS,Alliance Data Systems,,SP400MidCap,2012,2012
ADTN,ADTRAN,,SP400MidCap,2012,2013
ADVS,Advent Software,,SP400MidCap,2012,2014
AEO,American Eagle Outfitters,,SP400MidCap,2012,2019
AFG,American Financial Group,,SP400MidCap,2012,2019
AGCO,AGCO,,SP400MidCap,2012,2019
AHL,Aspen Insurance Holdings,,SP400MidCap,2012,2018
AINV,Apollo Investment,,SP400MidCap,2012,2013
AJG,Arthur J. Gallagher & Co.,,SP400MidCap,2012,2015
ALB,Albemarle Corporation,,SP400MidCap,2012,2015
ALE,"Allete, Inc.",,SP400MidCap,2018,2019
ALEX,Alexander & Baldwin,,SP400MidCap,2012,2019
ALGN,Align Technology,,SP400MidCap,2014,2016
ALK,Alaska Air Group,,SP400MidCap,2012,2015
AM,Antero Midstream,,SP400MidCap,2019,2019
AMCX,AMC Networks,,SP400MidCap,2012,2019
AMD,Advanced Micro Devices,,SP400MidCap,2013,2016
AME,Ametek,,SP400MidCap,2012,2012
AMED,Amedisys,,SP400MidCap,2019,2019
AMG,Affiliated Managers Group,,SP400MidCap,2012,2013
AMG,Affiliated Managers Group,,SP400MidCap,2019,2019
AMSG,AmSurg Corp,,SP400MidCap,2012,2015
AN,AutoNation,,SP400MidCap,2017,2019
ANF,Abercrombie & Fitch,,SP400MidCap,2013,2015
ANR,Alpha Natural Resources,,SP400MidCap,2012,2013
ANSS,ANSYS Inc,,SP400MidCap,2012,2016
AOL,AOL Inc,,SP400MidCap,2012,2014
AOS,A.O. Smith,,SP400MidCap,2013,2016
APOL,Apollo Education,,SP400MidCap,2013,2014
ARE,Alexandria Real Estate Equities,,SP400MidCap,2012,2016
ARRS,Arris International,,SP400MidCap,2014,2018
ARW,Arrow Electronics,,SP400MidCap,2012,2019
ARWR,Arrowhead Pharmaceuticals,,SP400MidCap,2019,2019
ASB,Associated Bank,,SP400MidCap,2012,2019
ASGN,ASGN Inc.,,SP400MidCap,2018,2019
ASH,Ashland Global,,SP400MidCap,2012,2019
ASNA,Ascena Retail Group,,SP400MidCap,2012,2015
ATGE,Adtalem Global Education,,SP400MidCap,2012,2019
ATI,ATI Inc.,,SP400MidCap,2015,2019
ATML,Atmel,,SP400MidCap,2012,2015
ATR,AptarGroup,,SP400MidCap,2012,2019
ATW,Atwood Oceanics,,SP400MidCap,2012,2015
AVNS,Avanos Medical,,SP400MidCap,2012,2019
AVNT,Avient,,SP400MidCap,2012,2019
AVP,Avon Products,,SP400MidCap,2012,2017
AVT,Avnet,,SP400MidCap,2012,2019
AXON,Axon Enterprise,,SP400MidCap,2012,2019
AYI,Acuity Brands,,SP400MidCap,2012,2015
AYI,Acuity Brands,,SP400MidCap,2018,2019
AZTA,Azenta,,SP400MidCap,2012,2019
BBBY,Bed Bath & Beyond,,SP400MidCap,2017,2019
BBG,Bill Barrett Corporation,,SP400MidCap,2012,2013
BC,Brunswick,,SP400MidCap,2013,2019
BCO,Brink's,,SP400MidCap,2012,2013
BCO,Brink's,,SP400MidCap,2017,2019
BDC,Belden Inc.,,SP400MidCap,2014,2019
BEAV,B/E Aerospace,,SP400MidCap,2012,2016
BFH,Bread Financial,,SP400MidCap,2012,2019
BGC,General Cable,,SP400MidCap,2012,2013
BHF,Brighthouse Financial,,SP400MidCap,2019,2019
BID,Sotheby's,,SP400MidCap,2012,2018
BIG,Big Lots,,SP400MidCap,2012,2018
BIO,Bio-Rad Laboratories,,SP400MidCap,2012,2019
BIVV,Bioverativ,,SP400MidCap,2017,2017
BJ,BJ's Wholesale Club,,SP400MidCap,2019,2019
BKH,Black Hills Corporation,,SP400MidCap,2012,2019
BKS,Barnes & Noble,,SP400MidCap,2012,2012
BLKB,Blackbaud,,SP400MidCap,2017,2019
BMR,BioMed Realty Trust,,SP400MidCap,2012,2015
BMS,Bemis Company,,SP400MidCap,2014,2018
BOBE,Bob Evans Farms,,SP400MidCap,2012,2013
BOH,Bank of Hawaii,,SP400MidCap,2012,2019
BR,Broadridge Financial Solutions,,SP400MidCap,2012,2017
BRCD,Brocade Communications,,SP400MidCap,2016,2016
BRE,BRE Properties,,SP400MidCap,2012,2013
BRO,Brown & Brown,,SP400MidCap,2012,2019
BRX,Brixmor Property Group,,SP400MidCap,2019,2019
BTU,Peabody Energy,,SP400MidCap,2014,2014
BWLD,Buffalo Wild Wings,,SP400MidCap,2012,2017
BYD,Boyd Gaming,,SP400MidCap,2018,2019
BYI,Bally Technologies,,SP400MidCap,2012,2013
CAA,CalAtlantic Homes,,SP400MidCap,2012,2017
CAB,Cabela's,,SP400MidCap,2012,2016
CABO,Cable One,,SP400MidCap,2015,2019
CACI,CACI International,,SP400MidCap,2018,2019
CADE,Cadence Bank,,SP400MidCap,2012,2019
CAKE,Cheesecake Factory,,SP400MidCap,2012,2019
CAR,Avis Budget Group,,SP400MidCap,2016,2019
CARS,Cars.com,,SP400MidCap,2017,2018
CASY,Casey's,,SP400MidCap,2015,2019
CATY,Cathay Bank,,SP400MidCap,2012,2019
